2 1 4 86.873169
4 1 4 118.443216
6 1 4 358.335047
8 1 4 306.159048
10 1 4 288.775062
12 1 4 267.044307
14 1 4 305.811258
16 1 4 268.580059
18 1 4 242.007120
20 1 4 219.647927
22 1 4 218.052280
24 1 4 200.782501
26 1 4 195.456711
28 1 4 186.484686
30 1 4 187.925926
32 1 4 170.413769
34 1 4 187.396004
36 1 4 175.840534
38 1 4 178.909445
40 1 4 169.357520
42 1 4 294095.953003
44 1 4 299611.016661
46 1 4 346289.696970
48 1 4 433841.302136
50 1 4 485312.835821
52 1 4 444337.675873
54 1 4 693271.646859
56 1 4 630030.120482
58 1 4 607141.263941
60 1 4 835378.406709
62 1 4 757912.162162
64 1 4 620258.014073
66 1 4 794154.701719
68 1 4 809484.083425
70 1 4 1320159.212880
72 1 4 684923.933210
74 1 4 861985.765125
76 1 4 851863.580999
78 1 4 1828496.103896
80 1 4 1224096.601073
