2 1 1315.675747
4 1 954.099981
6 1 711.424436
8 1 589.575523
10 1 487.085590
12 1 424.125600
14 1 369.042784
16 1 323.864594
18 1 292.892562
20 1 277.590959
22 1 260.286449
24 1 240.977474
26 1 238.737440
28 1 226.707850
30 1 215.743020
32 1 200.970866
34 1 207.422147
36 1 203.250749
38 1 199.946141
40 1 186.438202
42 1 184.208432
44 1 193.491481
46 1 250.134757
48 1 205.605897
50 1 227.060489
52 1 263.204794
54 1 304.449583
56 1 214.681476
58 1 208.060386
60 1 228.391519
62 1 229.169283
64 1 224.576203
66 1 868.242362
68 1 1157.674237
70 1 1451.226803
72 1 1483.514013
74 1 1351.567508
76 1 1607.206539
78 1 1746.976044
80 1 2234.908534
82 1 2218.285954
84 1 4037.658041
86 1 4702.650728
88 1 6759.357617
90 1 4402.751534
92 1 9533.208615
94 1 14466.199991
96 1 12189.664057
98 1 15621.687164
100 1 11592.226537
102 1 19349.957008
104 1 17437.930366
106 1 13457.364236
108 1 14874.793277
110 1 16977.673165
112 1 32720.320274
114 1 14056.261215
116 1 44129.991466
118 1 13611.562832
120 1 48324.589205
122 1 21184.899780
124 1 1774850.505051
126 1 6977.216772
128 1 1285380.263158
