2 1 5798794.000000
4 1 9264235.000000
6 1 2763972.000000
8 1 3055032.000000
10 1 2930490.000000
12 1 2735808.000000
14 1 3218167.000000
16 1 3358784.000000
18 1 3283439.000000
20 1 3061020.000000
22 1 3156362.000000
24 1 2725536.000000
26 1 3337749.000000
28 1 2982531.000000
30 1 3229049.000000
32 1 3371520.000000
34 1 3348422.000000
36 1 3444624.000000
38 1 3733575.000000
40 1 3285319.000000
42 1 3106.000000
44 1 2944.000000
46 1 3034.000000
48 1 2680.000000
50 1 2595.000000
52 1 1922.000000
54 1 2146.000000
56 1 2340.000000
58 1 1680.000000
60 1 1492.000000
62 1 1537.000000
64 1 1086.000000
66 1 1120.000000
68 1 1018.000000
70 1 763.000000
72 1 1151.000000
74 1 654.000000
76 1 753.000000
78 1 1091.000000
80 1 453.000000
