2 1 9804053.000000
4 1 4746285.000000
6 1 6100986.000000
8 1 3754960.000000
10 1 3628740.000000
12 1 3612684.000000
14 1 3240264.000000
16 1 3646848.000000
18 1 3449699.000000
20 1 3226260.000000
22 1 3208040.000000
24 1 3473928.000000
26 1 3590989.000000
28 1 3632467.000000
30 1 3614699.000000
32 1 3625824.000000
34 1 3871681.000000
36 1 3792455.000000
38 1 3793235.000000
40 1 3788559.000000
42 1 3547738.000000
44 1 2504510.000000
46 1 1950989.000000
48 1 2309231.000000
50 1 2034749.000000
52 1 1931955.000000
54 1 1417263.000000
56 1 1541063.000000
58 1 1355981.000000
60 1 1187560.000000
62 1 1361005.000000
64 1 1273087.000000
66 1 1003585.000000
68 1 1093830.000000
70 1 1141488.000000
72 1 942044.000000
74 1 992338.000000
76 1 883640.000000
78 1 904565.000000
80 1 952319.000000
