2 1 4 227.617127
4 1 4 184.544580
6 1 4 169.879458
8 1 4 128.818268
10 1 4 102.346929
12 1 4 98.602570
14 1 4 83.198956
16 1 4 86.341634
18 1 4 82.149260
20 1 4 74.669294
22 1 4 73.884088
24 1 4 68.845945
26 1 4 63.032247
28 1 4 56.130626
30 1 4 55.965579
32 1 4 53.834035
34 1 4 50.105894
36 1 4 46.551850
38 1 4 47.723736
40 1 4 47.852728
42 1 4 45.652741
44 1 4 45.033262
46 1 4 44.297859
48 1 4 43.722313
50 1 4 42.743165
52 1 4 41.483824
54 1 4 42.697656
56 1 4 41.681833
58 1 4 40.431595
60 1 4 40.237101
62 1 4 40.477298
64 1 4 47.717052
66 1 4 1353346.685083
68 1 4 1991345.338983
70 1 4 2285195.238095
72 1 4 2221750.000000
74 1 4 1620988.175676
76 1 4 1845730.769231
78 1 4 1765992.481203
80 1 4 2399122.500000
82 1 4 1653750.000000
84 1 4 1846226.907631
86 1 4 2138037.209302
88 1 4 1778522.727273
90 1 4 1534094.771242
92 1 4 1710225.865209
94 1 4 1664578.014184
96 1 4 1396998.511905
98 1 4 1610333.333333
100 1 4 1903650.423729
102 1 4 1840198.039216
104 1 4 1535711.538462
106 1 4 1545724.876442
108 1 4 1388208.655332
110 1 4 1421481.818182
112 1 4 1336391.369048
114 1 4 2059864.035088
116 1 4 2024293.103448
118 1 4 1572342.372881
120 1 4 1954547.916667
122 1 4 1531494.880546
124 1 4 2093642.857143
126 1 4 1472487.301587
128 1 4 1246945.312500
