4 1 309.408555
6 1 320.266730
8 1 385.536422
10 1 159.509538
12 1 302.454163
14 1 340.165239
16 1 340.073135
18 1 334.001477
20 1 321.466277
22 1 303.750230
24 1 294.542361
26 1 298.729826
28 1 295.144350
30 1 297.095910
32 1 347.615643
34 1 257.602027
36 1 308.973992
38 1 260.724715
40 1 257.327292
42 1 281395.800689
44 1 300971.408887
46 1 293899.263722
48 1 326469.316866
50 1 289516.785351
52 1 378549.686661
54 1 456165.166755
56 1 363601.876676
58 1 491958.707361
60 1 502179.717587
62 1 638420.840065
64 1 638687.943262
66 1 888084.423306
68 1 757872.298625
70 1 1201586.645469
72 1 671308.928571
74 1 851488.054608
76 1 996054.232804
78 1 943429.305913
80 1 1566019.189765
