2 1 4 380620.000000
4 1 4 757565.000000
6 1 4 1127096.000000
8 1 4 1505998.000000
10 1 4 1811054.000000
12 1 4 2130022.000000
14 1 4 2511696.000000
16 1 4 2870201.000000
18 1 4 2934205.000000
20 1 4 3216355.000000
22 1 4 3542439.000000
24 1 4 3853583.000000
26 1 4 3871972.000000
28 1 4 4131199.000000
30 1 4 4397699.000000
32 1 4 4689863.000000
34 1 4 4473515.000000
36 1 4 4755743.000000
38 1 4 4942537.000000
40 1 4 5257639.000000
42 1 4 5085277.000000
44 1 4 5206563.000000
46 1 4 4884647.000000
48 1 4 5455837.000000
50 1 4 5368449.000000
52 1 4 5305611.000000
54 1 4 5212457.000000
56 1 4 6102008.000000
58 1 4 6170852.000000
60 1 4 6407628.000000
62 1 4 6614903.000000
64 1 4 6704701.000000
66 1 4 136883.000000
68 1 4 74595.000000
70 1 4 1049.000000
72 1 4 36431.000000
74 1 4 887.000000
76 1 4 835.000000
78 1 4 780.000000
80 1 4 719.000000
82 1 4 817.000000
84 1 4 755.000000
86 1 4 773.000000
88 1 4 527.000000
90 1 4 539.000000
92 1 4 551.000000
94 1 4 752.000000
96 1 4 749.000000
98 1 4 684.000000
100 1 4 689.000000
102 1 4 694.000000
104 1 4 519.000000
106 1 4 727.000000
108 1 4 644.000000
110 1 4 549.000000
112 1 4 556.000000
114 1 4 570.000000
116 1 4 685.000000
118 1 4 431.000000
120 1 4 585.000000
122 1 4 607.000000
124 1 4 618.000000
126 1 4 504.000000
128 1 4 498.000000
