8 1 4 6665279.000000
16 1 4 10646608.000000
24 1 4 13026120.000000
32 1 4 15138080.000000
40 1 4 17274640.000000
48 1 4 19389504.000000
56 1 4 20778012.000000
64 1 4 21390972.000000
